dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc,fit_time,clf_time
nsl_kdd,GA,RandomForest,42,10,121,0.9173553719008264,0.7594481902058198,0.8231039568898925,0.7594481902058198,0.7559535758502253,0.7582803376369955,0.9202762332781044,,
nsl_kdd,GA,ExtraTrees,42,10,121,0.9173553719008264,0.7583836053938964,0.8260923145683072,0.7583836053938964,0.7544106206085393,0.7569738895690445,0.8862878199204256,,
nsl_kdd,GA,GradientBoosting,42,10,121,0.9173553719008264,0.7802519517388219,0.8369615628769983,0.7802519517388219,0.7779596612740332,0.779608631511607,0.9207427547897664,,
nsl_kdd,GA,HistGradientBoosting,42,10,121,0.9173553719008264,0.795111781405252,0.8436800316919609,0.795111781405252,0.7937740619045425,0.7948289647287948,0.9447152569782576,,
nsl_kdd,GA,XGBoost,42,10,121,0.9173553719008264,0.7695617459190915,0.8291939868963036,0.7695617459190915,0.7667530369975308,0.7687038243730843,0.954876668999896,,
nsl_kdd,GA,LightGBM,42,10,121,0.9173553719008264,0.7669002838892832,0.8282024390847712,0.7669002838892832,0.7638554585852797,0.7659359892482472,0.9450832559769516,,
nsl_kdd,GA,CatBoost,42,10,121,0.9173553719008264,0.7773687012065295,0.8354753509156148,0.7773687012065295,0.7748849634645814,0.7766452879209632,0.9593818873429328,,
nsl_kdd,GA,KNN,42,10,121,0.9173553719008264,0.7396202980837473,0.8116668769753296,0.7396202980837473,0.734470956909328,0.7376330818398034,0.7928714420106623,,
nsl_kdd,GA,MLP,42,10,121,0.9173553719008264,0.7420599716110717,0.8091953132952966,0.7420599716110717,0.7376140846134004,0.740447327970561,0.8950320099066883,,
unsw_nb15,NoSelection,LogisticRegression,42,194,194,0.0,0.7341711150652431,0.82216881805683,0.7341711150652431,0.7363021120460819,0.7338588662212382,0.9108550751475268,9.27448272705078e-05,10.485598802566528
unsw_nb15,NoSelection,LinearSVM,42,194,194,0.0,0.7393238434163701,0.8367201843738051,0.7393238434163701,0.7407191782309449,0.739200775053736,,9.27448272705078e-05,6.537916421890259
unsw_nb15,NoSelection,DecisionTree,42,194,194,0.0,0.8050674673784104,0.8481194108946721,0.8050674673784104,0.8085688008573849,0.8023020250056742,0.932149959605981,9.27448272705078e-05,2.633503198623657
unsw_nb15,NoSelection,RandomForest,42,194,194,0.0,0.823064946619217,0.868962444859443,0.823064946619217,0.8262033635603555,0.8207814389523673,0.961960737979958,9.27448272705078e-05,17.65435814857483
unsw_nb15,NoSelection,ExtraTrees,42,194,194,0.0,0.8112952253855279,0.8601966850217464,0.8112952253855279,0.8145799357190506,0.8091249097143718,0.9526442760436956,9.27448272705078e-05,15.905600309371948
unsw_nb15,NoSelection,GradientBoosting,42,194,194,0.0,0.8026949881376038,0.8642530266696536,0.8026949881376038,0.8057493410556997,0.8013207896473304,0.9602873858998584,9.27448272705078e-05,96.13895416259766
unsw_nb15,NoSelection,HistGradientBoosting,42,194,194,0.0,0.8249555160142349,0.8722200253542366,0.8249555160142349,0.8280376162247353,0.822801811590826,0.9728882325915672,9.27448272705078e-05,15.696980476379396
unsw_nb15,NoSelection,XGBoost,42,194,194,0.0,0.8275874851720048,0.8699925003972658,0.8275874851720048,0.830694789666532,0.8250670813760932,0.9682698209729802,9.27448272705078e-05,2.5429420471191406
unsw_nb15,NoSelection,LightGBM,42,194,194,0.0,0.8246404211150652,0.8733315823680525,0.8246404211150652,0.827701553512094,0.8225908302167428,0.9730239191506322,9.27448272705078e-05,3.2883105278015137
unsw_nb15,NoSelection,CatBoost,42,194,194,0.0,0.8190057829181495,0.8657003855926493,0.8190057829181495,0.8222013875500889,0.8167400422034581,0.9661971664769836,9.27448272705078e-05,3.30609393119812
unsw_nb15,NoSelection,KNN,42,194,194,0.0,0.7853833036773428,0.8328936808596593,0.7853833036773428,0.7891422945628978,0.7828256172584093,0.9058517881829398,9.27448272705078e-05,156.60508012771606
unsw_nb15,NoSelection,MLP,42,194,194,0.0,0.8040109727164887,0.8421348202722424,0.8040109727164887,0.8075850359312201,0.8006960791083709,0.9378038453144742,9.27448272705078e-05,1050.5201172828674
